brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
77633,for_sale,275380.0,6,5.5,0.286,4132 Elm St,Cleveland,OH,,2953.0,
6543,sold,304346.0,3,2.5,0.209,2404 Maple St,Tampa,FL,33622.0,1087.0,
31675,for_sale,134794.0,2,1.5,0.22,1043 Elm St,Cleveland,OH,44128.0,1884.0,
69401,for_sale,302033.0,3,2.5,0.227,8393 Maple St,Tampa,FL,33623.0,1803.0,2023-05-27
65653,for_sale,202609.0,3,2.5,0.256,1838 Pine St,Atlanta,GA,30307.0,1811.0,
35288,sold,151411.0,3,2.5,0.559,4684 Elm St,Houston,TX,77015.0,1767.0,2024-10-07
64810,for_sale,235398.0,2,1.5,0.571,1151 Elm St,Phoenix,AZ,85031.0,1066.0,2020-12-15
30061,sold,237096.0,3,2.5,0.145,4292 Pine St,Phoenix,AZ,85023.0,2073.0,
99071,for_sale,225695.0,3,2.5,0.214,9790 Elm St,Phoenix,AZ,85029.0,1587.0,2015-04-22
62328,sold,303324.0,4,3.5,0.444,3296 Oak St,Charlotte,NC,28221.0,2048.0,
43279,for_sale,320480.0,3,2.5,0.503,7923 Oak St,Atlanta,GA,30330.0,1800.0,2016-08-11
39869,for_sale,217965.0,4,3.5,0.234,2849 Pine St,Houston,TX,77012.0,1920.0,2015-05-19
16622,for_sale,436245.0,3,2.5,0.192,3403 Pine St,Tampa,FL,33604.0,1251.0,
19368,sold,769738.0,5,4.5,0.294,8727 Pine St,Tampa,FL,33609.0,2838.0,2023-06-17
12458,for_sale,151352.0,2,1.5,0.539,8217 Pine St,Atlanta,GA,30312.0,687.0,
8257,for_sale,361855.0,4,3.5,0.335,5795 Pine St,Atlanta,GA,30307.0,2185.0,
5806,for_sale,97293.0,1,1.0,0.14,6181 Oak St,Cleveland,OH,44127.0,926.0,
15114,for_sale,397682.0,4,3.5,0.575,8206 Elm St,Cleveland,OH,44117.0,2898.0,2015-05-28
3549,for_sale,192957.0,2,1.5,0.103,3296 Pine St,Indianapolis,IN,46201.0,1090.0,
37650,for_sale,229060.0,1,1.0,0.111,2091 Elm St,Phoenix,AZ,85027.0,1168.0,2024-09-25
52856,for_sale,150216.0,1,1.0,0.584,951 Pine St,Atlanta,GA,30318.0,867.0,2024-09-02
47323,for_sale,150792.0,3,2.5,0.187,7016 Oak St,Cleveland,OH,44113.0,1727.0,
85092,ready_to_build,180620.0,2,1.5,0.392,4579 Oak St,Cleveland,OH,44104.0,1514.0,2015-01-02
68342,for_sale,171870.0,4,3.5,0.546,1484 Elm St,Indianapolis,IN,46204.0,1697.0,
75734,for_sale,179458.0,3,2.5,0.172,6434 Maple St,Indianapolis,IN,46218.0,2189.0,2022-10-23
52964,for_sale,125369.0,3,2.5,0.057,5877 Maple St,Indianapolis,IN,46223.0,,
58669,for_sale,305249.0,4,3.5,0.412,8570 Elm St,Charlotte,NC,28231.0,1745.0,
37273,for_sale,153902.0,3,2.5,0.502,8583 Oak St,Charlotte,NC,28215.0,1183.0,
55776,for_sale,219170.0,2,1.5,0.517,4676 Oak St,Houston,TX,77028.0,1664.0,2021-10-05
66476,for_sale,205493.0,2,1.5,0.259,5015 Maple St,Tampa,FL,33628.0,1171.0,
7218,sold,225620.0,3,2.5,0.191,8248 Pine St,Indianapolis,IN,46210.0,1874.0,2021-01-01
89667,for_sale,129223.0,3,2.5,0.088,3856 Oak St,Indianapolis,IN,46225.0,1434.0,
45994,for_sale,249807.0,2,1.5,0.43,1611 Maple St,Tampa,FL,33612.0,976.0,
68057,sold,175007.0,3,2.5,0.164,3181 Elm St,Cleveland,OH,44111.0,1567.0,2017-09-10
13910,for_sale,,1,1.0,0.372,583 Maple St,Atlanta,GA,,1234.0,2019-07-27
14120,for_sale,225127.0,2,1.5,0.092,8660 Elm St,Atlanta,GA,30316.0,1776.0,2023-02-01
46730,for_sale,119544.0,1,1.0,0.155,6418 Oak St,Charlotte,NC,28215.0,1012.0,2016-10-03
55837,for_sale,327212.0,3,2.5,0.381,8219 Oak St,Phoenix,AZ,85008.0,2210.0,2015-08-10
74601,for_sale,175353.0,2,1.5,0.25,5588 Elm St,Atlanta,GA,30322.0,,2015-05-13
21433,for_sale,61817.0,1,1.0,0.183,2227 Oak St,Cleveland,OH,44113.0,959.0,2015-06-26
28270,for_sale,148914.0,1,1.0,0.213,7898 Maple St,Atlanta,GA,30309.0,854.0,
12989,for_sale,204432.0,3,2.5,0.348,4530 Elm St,Atlanta,GA,30328.0,1446.0,2016-11-17
39922,sold,428348.0,2,1.5,0.156,5199 Oak St,Phoenix,AZ,85022.0,1644.0,2020-09-25
87980,for_sale,354216.0,4,3.5,0.43,6859 Oak St,Atlanta,GA,30310.0,2257.0,2015-06-22
6302,for_sale,262132.0,2,1.5,0.273,2754 Elm St,Houston,TX,77023.0,1581.0,
88835,for_sale,336930.0,3,2.5,0.426,5818 Oak St,Atlanta,GA,30325.0,1539.0,
28543,for_sale,260030.0,2,1.5,0.477,5763 Oak St,Phoenix,AZ,85027.0,1762.0,
97811,sold,226540.0,1,1.0,0.429,7518 Oak St,Tampa,FL,33623.0,1632.0,
84560,for_sale,227313.0,4,3.5,0.18,4364 Maple St,Houston,TX,77023.0,1904.0,2023-03-25
47066,for_sale,330948.0,3,2.5,0.434,2285 Maple St,Phoenix,AZ,85006.0,1377.0,2022-03-21
38924,for_sale,269275.0,4,3.5,0.057,8072 Maple St,Indianapolis,IN,46219.0,1740.0,2018-02-23
99362,for_sale,527157.0,3,2.5,0.317,5534 Pine St,Phoenix,AZ,85002.0,2037.0,2015-01-15
92666,for_sale,306942.0,2,1.5,0.188,4130 Oak St,Phoenix,AZ,85021.0,1167.0,
43817,for_sale,508672.0,4,3.5,0.259,5936 Pine St,Atlanta,GA,30324.0,2549.0,2019-12-20
7625,for_sale,511067.0,5,4.5,0.57,8199 Elm St,Atlanta,GA,30312.0,,
29609,for_sale,454422.0,4,3.5,0.448,145 Oak St,Tampa,FL,33624.0,1931.0,2022-08-07
24105,for_sale,424559.0,3,2.5,0.547,2794 Elm St,Charlotte,NC,28220.0,2240.0,
21232,for_sale,141472.0,2,1.5,0.586,1434 Oak St,Cleveland,OH,44101.0,1096.0,
4649,for_sale,165666.0,3,2.5,0.516,3745 Elm St,Houston,TX,77022.0,1340.0,
15715,for_sale,216645.0,4,3.5,0.172,4253 Oak St,Houston,TX,77003.0,2096.0,2018-09-24
58609,for_sale,174340.0,1,1.0,0.124,8343 Oak St,Atlanta,GA,30317.0,1322.0,2021-11-03
32051,for_sale,258133.0,2,1.5,0.076,783 Oak St,Houston,TX,77031.0,1658.0,2024-01-13
23020,sold,391418.0,4,3.5,0.252,5693 Oak St,Houston,TX,77020.0,2233.0,
15807,for_sale,246871.0,4,3.5,0.069,4072 Pine St,Charlotte,NC,28209.0,,
91067,for_sale,238457.0,3,2.5,0.418,2463 Pine St,Cleveland,OH,44107.0,1664.0,
79638,for_sale,234104.0,2,1.5,0.266,7894 Maple St,Indianapolis,IN,,1728.0,2024-11-22
62310,for_sale,208462.0,2,1.5,0.232,7774 Elm St,Houston,TX,77028.0,1357.0,2017-06-24
66536,for_sale,220664.0,4,3.5,0.595,5946 Maple St,Cleveland,OH,44111.0,2357.0,2021-05-03
19499,for_sale,336952.0,4,3.5,0.425,5080 Pine St,Houston,TX,77002.0,2629.0,
67025,sold,115620.0,2,1.5,0.252,4088 Maple St,Houston,TX,77012.0,991.0,
75959,for_sale,166726.0,3,2.5,0.353,5678 Oak St,Cleveland,OH,44105.0,1739.0,2019-05-24
37159,sold,353156.0,3,2.5,0.544,9053 Oak St,Atlanta,GA,30319.0,2290.0,2022-06-06
7370,for_sale,214593.0,2,1.5,0.094,9528 Pine St,Charlotte,NC,28206.0,1442.0,2015-03-20
54125,for_sale,288537.0,4,3.5,0.385,5634 Maple St,Houston,TX,77005.0,2097.0,
42082,sold,239073.0,3,2.5,0.081,5493 Maple St,Phoenix,AZ,85028.0,1569.0,2020-10-21
79848,for_sale,362437.0,3,2.5,0.366,3868 Pine St,Phoenix,AZ,85001.0,1854.0,
18283,for_sale,155036.0,3,2.5,0.189,9244 Elm St,Charlotte,NC,28223.0,1574.0,
24831,for_sale,430109.0,2,1.5,0.193,6090 Maple St,Phoenix,AZ,,2198.0,2023-04-18
51990,sold,329934.0,1,1.0,0.303,5405 Oak St,Atlanta,GA,30328.0,1613.0,
83198,sold,299640.0,3,2.5,0.523,603 Pine St,Phoenix,AZ,85022.0,1680.0,
36032,for_sale,267717.0,2,1.5,0.575,2336 Pine St,Phoenix,AZ,85009.0,1605.0,2017-08-28
58550,sold,109235.0,3,2.5,0.15,2390 Pine St,Cleveland,OH,44103.0,1417.0,2020-01-25
12826,for_sale,259124.0,3,2.5,0.278,6599 Pine St,Houston,TX,77001.0,1797.0,
16789,for_sale,237057.0,4,3.5,0.576,2325 Elm St,Phoenix,AZ,85019.0,1785.0,2020-02-04
30354,for_sale,365945.0,4,3.5,0.452,4572 Maple St,Phoenix,AZ,85006.0,1801.0,
91477,for_sale,216394.0,4,3.5,0.276,4500 Elm St,Phoenix,AZ,85009.0,1544.0,2019-09-11
96682,for_sale,272458.0,2,1.5,0.257,4044 Maple St,Tampa,FL,33611.0,1224.0,2019-12-20
98806,for_sale,321263.0,4,3.5,0.406,7810 Pine St,Houston,TX,77004.0,2295.0,2024-01-16
43223,for_sale,177419.0,3,2.5,0.09,8997 Maple St,Indianapolis,IN,46218.0,2065.0,
48722,for_sale,114946.0,4,3.5,0.338,8742 Maple St,Indianapolis,IN,46225.0,1597.0,
48811,for_sale,339248.0,3,2.5,0.246,8662 Pine St,Charlotte,NC,28212.0,1721.0,2019-07-04
69248,for_sale,458499.0,4,3.5,0.413,6174 Pine St,Tampa,FL,33622.0,2126.0,2017-06-16
84380,for_sale,211041.0,4,3.5,0.321,1555 Maple St,Charlotte,NC,28213.0,1688.0,2022-02-17
32277,sold,287479.0,3,2.5,0.262,9581 Maple St,Atlanta,GA,30314.0,2100.0,2024-05-12
4354,for_sale,352010.0,4,3.5,0.109,9332 Elm St,Indianapolis,IN,46207.0,2667.0,2022-11-25
6319,for_sale,299304.0,3,2.5,0.559,4916 Pine St,Tampa,FL,33623.0,1976.0,2018-07-18
64280,for_sale,356981.0,3,2.5,0.525,9117 Elm St,Charlotte,NC,28213.0,1731.0,2018-12-11
51295,ready_to_build,400363.0,4,3.5,0.19,4995 Elm St,Charlotte,NC,,2025.0,2019-02-11
65092,for_sale,168796.0,3,2.5,0.44,2414 Pine St,Indianapolis,IN,46229.0,1557.0,2020-08-22
27286,for_sale,334648.0,5,4.5,0.441,9800 Elm St,Charlotte,NC,28211.0,,2018-08-10
22512,for_sale,453467.0,2,1.5,0.324,4931 Maple St,Tampa,FL,33630.0,,2023-12-26
34762,for_sale,204973.0,4,3.5,0.438,7348 Elm St,Indianapolis,IN,46227.0,2169.0,
41575,for_sale,526884.0,4,3.5,0.552,5414 Maple St,Atlanta,GA,30328.0,2422.0,
57342,for_sale,318222.0,2,1.5,0.233,6676 Oak St,Atlanta,GA,30331.0,2127.0,2017-12-06
37700,for_sale,193483.0,3,2.5,0.525,9893 Oak St,Phoenix,AZ,85027.0,1263.0,2016-04-16
7560,sold,93064.0,2,1.5,0.145,5838 Elm St,Atlanta,GA,30305.0,860.0,2017-11-10
5420,for_sale,469798.0,3,2.5,0.072,9590 Oak St,Tampa,FL,33608.0,1471.0,2021-08-02
63946,for_sale,377633.0,2,1.5,0.217,4380 Oak St,Tampa,FL,33621.0,1529.0,
73783,for_sale,363176.0,3,2.5,0.162,2182 Maple St,Phoenix,AZ,85029.0,1720.0,2018-05-13
35625,for_sale,233061.0,2,1.5,0.599,7046 Elm St,Houston,TX,77028.0,1338.0,2017-03-27
45209,for_sale,356141.0,4,3.5,0.591,775 Maple St,Indianapolis,IN,46217.0,2201.0,2018-02-20
5225,sold,140664.0,1,1.0,0.098,4111 Maple St,Indianapolis,IN,46225.0,1371.0,
69885,for_sale,246003.0,2,1.5,0.479,1231 Oak St,Houston,TX,77017.0,1576.0,2022-01-16
7917,for_sale,178640.0,1,1.0,0.46,9772 Maple St,Atlanta,GA,30328.0,1017.0,2019-12-10
34030,sold,322453.0,3,2.5,0.463,3902 Maple St,Tampa,FL,33613.0,2098.0,
50678,for_sale,222140.0,2,1.5,0.273,1527 Maple St,Atlanta,GA,30319.0,1345.0,
55874,for_sale,213893.0,3,2.5,0.276,5006 Elm St,Houston,TX,,,
29353,for_sale,299216.0,2,1.5,0.426,780 Elm St,Atlanta,GA,30311.0,1500.0,2023-04-04
80506,sold,379983.0,4,3.5,0.154,2757 Elm St,Charlotte,NC,28229.0,1860.0,2020-09-26
88308,for_sale,267279.0,3,2.5,0.257,4250 Elm St,Indianapolis,IN,46201.0,2010.0,
90592,for_sale,239053.0,2,1.5,0.115,6279 Elm St,Phoenix,AZ,85017.0,1314.0,2015-01-27
52408,for_sale,,2,1.5,0.145,9759 Pine St,Cleveland,OH,44125.0,1413.0,2024-09-02
94021,for_sale,235806.0,4,3.5,0.248,4646 Pine St,Houston,TX,77025.0,1744.0,
40011,for_sale,167836.0,1,1.0,0.584,6000 Maple St,Atlanta,GA,30327.0,867.0,2019-01-19
35976,for_sale,151069.0,3,2.5,0.112,7476 Elm St,Cleveland,OH,44110.0,2139.0,
38797,for_sale,250696.0,2,1.5,0.518,2084 Pine St,Houston,TX,77006.0,1777.0,2021-09-26
55097,for_sale,322927.0,4,3.5,0.509,1923 Pine St,Tampa,FL,33625.0,2314.0,2024-11-27
25344,for_sale,300959.0,4,3.5,0.442,2449 Elm St,Atlanta,GA,30321.0,2057.0,2020-06-28
36889,for_sale,,3,2.5,0.482,2270 Maple St,Houston,TX,77030.0,1918.0,2018-10-24
94326,sold,440266.0,3,2.5,0.087,9985 Pine St,Atlanta,GA,30322.0,1916.0,2021-10-09
19187,for_sale,289659.0,3,2.5,0.296,8347 Oak St,Indianapolis,IN,46207.0,2054.0,2015-08-21
28391,sold,267119.0,1,1.0,0.205,9562 Oak St,Tampa,FL,33619.0,846.0,2018-04-18
8172,for_sale,396627.0,5,4.5,0.492,8808 Pine St,Atlanta,GA,30325.0,2124.0,2018-11-28
68660,for_sale,238505.0,4,3.5,0.059,3339 Maple St,Houston,TX,77009.0,2213.0,2018-02-24
98958,for_sale,390339.0,4,3.5,0.397,4421 Pine St,Charlotte,NC,28209.0,1953.0,2015-11-24
45949,for_sale,202339.0,2,1.5,0.109,2621 Pine St,Houston,TX,,1300.0,
34022,for_sale,78230.0,1,1.0,0.411,3263 Pine St,Charlotte,NC,28229.0,500.0,2021-04-12
6668,for_sale,,2,1.5,0.162,9485 Oak St,Charlotte,NC,28217.0,951.0,2015-02-15
60822,sold,221028.0,3,2.5,0.365,7302 Oak St,Charlotte,NC,28211.0,,2017-04-15
9223,for_sale,239365.0,1,1.0,0.435,3847 Oak St,Indianapolis,IN,46224.0,1508.0,2022-10-13
89064,for_sale,411755.0,2,1.5,0.074,9212 Elm St,Tampa,FL,33619.0,1920.0,2021-04-08
4894,for_sale,222084.0,3,2.5,0.356,1502 Oak St,Cleveland,OH,44102.0,1754.0,2021-01-03
97409,for_sale,,2,1.5,0.164,7129 Oak St,Houston,TX,77002.0,1335.0,2016-12-21
26169,for_sale,217258.0,2,1.5,0.054,1328 Oak St,Indianapolis,IN,46203.0,1253.0,2024-06-25
11460,for_sale,218170.0,2,1.5,0.552,1065 Oak St,Phoenix,AZ,85022.0,1460.0,
51107,for_sale,230239.0,5,4.5,0.102,7356 Maple St,Houston,TX,77022.0,2427.0,2020-01-11
32297,for_sale,337700.0,4,3.5,0.539,1399 Maple St,Houston,TX,77021.0,2471.0,2020-06-01
33106,for_sale,231500.0,3,2.5,0.566,6776 Oak St,Phoenix,AZ,85002.0,1898.0,
91523,for_sale,232714.0,4,3.5,0.571,4758 Elm St,Houston,TX,77007.0,1867.0,
40832,for_sale,283587.0,3,2.5,0.093,1196 Oak St,Atlanta,GA,30311.0,1694.0,2016-12-13
92327,for_sale,275791.0,4,3.5,0.429,7389 Oak St,Phoenix,AZ,85012.0,2269.0,2019-07-14
25896,for_sale,262408.0,2,1.5,0.09,1566 Maple St,Charlotte,NC,28230.0,1272.0,
