property_id,address,city,state,zip,latitude,longitude,list_price,sqft,beds,baths,year_built,property_condition,days_on_market,estimated_monthly_rent
P0041,3116 Cedar St,Phoenix,AZ,85003,33.449788,-112.070796,217779,1269,2,1.5,1974,fair,43,1465
P0042,3492 Pine St,Atlanta,GA,30301,33.743136,-84.349255,320181,2147,3,2.5,1983,poor,3,2592
P0043,3670 Pine St,Cleveland,OH,44114,41.476461,-81.694273,130231,1750,4,3.5,1977,distressed,186,1916
P0044,7090 Cedar St,Tampa,FL,33621,27.963912,-82.435494,437492,1814,3,2.5,1986,good,1,2106
P0045,6047 Elm St,Indianapolis,IN,46206,39.795677,-86.140196,82307,973,1,1.0,1961,distressed,86,903
P0046,8035 Cedar St,Phoenix,AZ,85010,33.45039,-112.075722,518841,2005,4,3.5,1991,good,63,2375
P0047,3986 Elm St,Atlanta,GA,30322,33.745173,-84.359924,380568,2304,4,3.5,1981,fair,61,3010
P0048,7964 Elm St,Cleveland,OH,44106,41.512049,-81.705175,252913,2166,2,1.5,1955,good,63,2216
P0049,5440 Oak St,Tampa,FL,33619,27.954668,-82.477371,422188,1948,3,2.5,1988,poor,162,2611
P0050,6938 Pine St,Indianapolis,IN,46222,39.743511,-86.175876,247763,1618,3,2.5,1976,good,2,1663
P0051,172 Pine St,Phoenix,AZ,85015,33.452159,-112.102963,283221,1767,2,1.5,1979,distressed,31,2380
P0052,1624 Maple St,Atlanta,GA,30319,33.725873,-84.393876,196641,1167,2,1.5,2024,fair,22,1280
P0053,505 Maple St,Cleveland,OH,44108,41.535726,-81.727435,141891,1459,2,1.5,1995,fair,28,1727
P0054,180 Cedar St,Tampa,FL,33614,27.937868,-82.446377,480894,1993,4,3.5,1932,excellent,27,3018
P0055,584 Elm St,Indianapolis,IN,46210,39.742747,-86.143824,197066,1373,3,2.5,1963,excellent,4,1429
P0056,8675 Oak St,Phoenix,AZ,85023,33.475653,-112.094812,130010,700,2,1.5,2024,good,28,892
P0057,7203 Pine St,Atlanta,GA,30312,33.760591,-84.37751,357253,1964,4,3.5,1979,fair,151,2495
P0058,8884 Cedar St,Cleveland,OH,44123,41.536257,-81.697883,292883,2400,3,2.5,1989,excellent,17,2438
P0059,2916 Oak St,Tampa,FL,33625,27.950249,-82.475248,203180,1613,2,1.5,1934,distressed,27,2402
P0060,5930 Elm St,Indianapolis,IN,46208,39.742063,-86.141384,193732,1807,4,3.5,1985,poor,59,2236
P0061,5664 Oak St,Phoenix,AZ,85005,33.439692,-112.083582,476755,2324,4,3.5,1964,fair,332,2784
P0062,9772 Maple St,Atlanta,GA,30307,33.729727,-84.406303,325844,1559,3,2.5,1968,good,75,1771
P0063,116 Pine St,Cleveland,OH,44104,41.494869,-81.68145,180688,1965,3,2.5,1974,fair,36,1990
P0064,8652 Elm St,Tampa,FL,33622,27.948676,-82.43464,183592,700,1,1.0,1951,good,2,901
P0065,1468 Maple St,Indianapolis,IN,46208,39.769565,-86.147125,198849,1775,3,2.5,1994,excellent,2,2184
P0066,9684 Elm St,Phoenix,AZ,85015,33.411203,-112.072019,325090,2068,4,3.5,1987,poor,89,2415
P0067,8149 Elm St,Atlanta,GA,30319,33.784703,-84.365279,442186,2034,4,3.5,1986,good,9,2629
P0068,6734 Elm St,Cleveland,OH,44109,41.500972,-81.705524,144487,1074,3,2.5,2018,good,2,1150
P0069,9917 Oak St,Tampa,FL,33604,27.95854,-82.455992,364149,1626,3,2.5,2019,fair,69,2309
P0070,8405 Maple St,Indianapolis,IN,46216,39.765379,-86.173022,117963,1087,2,1.5,1984,poor,3,1318
P0071,4021 Oak St,Phoenix,AZ,85014,33.431499,-112.095674,272868,1820,4,3.5,2002,poor,74,2318
P0072,9206 Cedar St,Atlanta,GA,30320,33.754058,-84.398079,199175,1367,2,1.5,1964,poor,31,1954
P0073,4750 Pine St,Cleveland,OH,44109,41.505664,-81.717642,85285,812,1,1.0,1975,fair,65,985
P0074,9318 Cedar St,Tampa,FL,33603,27.943004,-82.472258,248802,1247,2,1.5,2010,poor,8,2125
P0075,6125 Elm St,Indianapolis,IN,46209,39.771021,-86.150791,171739,2033,3,2.5,1999,distressed,7,2298
P0076,9757 Oak St,Phoenix,AZ,85004,33.455132,-112.065501,182739,778,2,1.5,1950,excellent,96,1095
P0077,2668 Maple St,Atlanta,GA,30312,33.740861,-84.399697,205454,1775,2,1.5,1993,poor,41,2169
P0078,8182 Cedar St,Cleveland,OH,44120,41.49874,-81.689889,293305,2076,3,2.5,1945,excellent,16,1634
P0079,1736 Oak St,Tampa,FL,33614,27.933939,-82.468355,351204,1667,3,2.5,2001,fair,39,2511
P0080,708 Pine St,Indianapolis,IN,46220,39.765451,-86.126334,179560,1370,3,2.5,1969,good,6,1566
P0081,8527 Maple St,Phoenix,AZ,85004,33.435957,-112.054252,477890,2296,4,3.5,2009,good,114,2814
P0082,3788 Pine St,Atlanta,GA,30313,33.786643,-84.391394,401526,1836,3,2.5,1976,good,88,2366
P0083,397 Cedar St,Cleveland,OH,44122,41.476283,-81.696158,250517,2039,4,3.5,1997,fair,17,2212
P0084,635 Elm St,Tampa,FL,33625,27.958258,-82.530168,217530,874,2,1.5,1986,good,150,1551
P0085,9244 Pine St,Indianapolis,IN,46206,39.776561,-86.125763,95027,1198,2,1.5,1974,distressed,22,1322
P0086,997 Elm St,Phoenix,AZ,85004,33.446276,-112.069538,345852,1927,3,2.5,1948,fair,38,2562
P0087,4550 Cedar St,Atlanta,GA,30325,33.756488,-84.37536,437140,1798,3,2.5,1962,good,61,2222
P0088,3315 Elm St,Cleveland,OH,44115,41.514636,-81.691976,210407,1708,3,2.5,1973,good,49,1854
P0089,295 Elm St,Tampa,FL,33608,27.943103,-82.442075,178093,1094,3,2.5,1962,poor,2,1542
P0090,734 Maple St,Indianapolis,IN,46204,39.780794,-86.151302,161830,1792,3,2.5,1990,poor,11,1970
P0091,6885 Cedar St,Phoenix,AZ,85012,33.472153,-112.069944,370843,1868,3,2.5,1974,fair,37,2196
P0092,2408 Elm St,Atlanta,GA,30314,33.762971,-84.385961,150123,1306,2,1.5,1961,distressed,76,1599
P0093,2477 Pine St,Cleveland,OH,44118,41.548203,-81.721946,201019,1717,3,2.5,1977,fair,138,2006
P0094,4070 Elm St,Tampa,FL,33605,27.949395,-82.478639,312496,1854,4,3.5,1973,poor,19,3042
P0095,789 Oak St,Indianapolis,IN,46216,39.756668,-86.129394,148503,1581,3,2.5,1976,poor,96,1852
P0096,1860 Pine St,Phoenix,AZ,85011,33.436478,-112.07383,293569,2007,3,2.5,1958,distressed,17,2903
P0097,3597 Maple St,Atlanta,GA,30320,33.760967,-84.377607,402168,1965,3,2.5,1955,fair,133,2173
P0098,1078 Oak St,Cleveland,OH,44123,41.501341,-81.69282,290961,2160,3,2.5,1983,excellent,15,2214
P0099,1763 Pine St,Tampa,FL,33609,27.945197,-82.421773,343888,1540,2,1.5,1952,fair,69,2520
P0100,3438 Oak St,Indianapolis,IN,46207,39.769145,-86.159876,217700,1651,4,3.5,1917,good,9,1902
