rank,property_id,address,city,state,zip,list_price,sqft,beds,baths,property_condition,days_on_market,n_comps,comp_psf,arv,rehab_cost,total_costs,max_bid,offer_price,expected_profit,expected_roi,capital_required,list_to_arv_discount,binding_constraint,feasible,deal_score
55,P0036,9801 Cedar St,Phoenix,AZ,85001,286124,1738,3,2.5,poor,7,7,182.41276631803143,317033.0,95590.0,130949.0,143117.0,143117.0,42967.0,0.18,238707.0,0.0975,roi,True,0.1194
56,P0020,1742 Pine St,Indianapolis,IN,46217,151057,1336,2,1.5,fair,31,5,93.91915178571429,125476.0,40080.0,53212.0,47264.0,47264.0,25000.0,0.2862,87344.0,-0.2039,profit,True,0.1175
57,P0007,2415 Pine St,Atlanta,GA,30301,181926,1236,2,1.5,poor,59,5,164.85988153541115,203767.0,67980.0,90148.0,85917.0,85917.0,27702.0,0.18,153897.0,0.1072,roi,True,0.1148
58,P0030,4811 Pine St,Indianapolis,IN,46221,158133,1335,2,1.5,fair,13,5,93.91915178571429,125382.0,40050.0,53170.0,47212.0,47212.0,25000.0,0.2865,87262.0,-0.2612,profit,True,0.1122
59,P0087,4550 Cedar St,Atlanta,GA,30325,437140,1798,3,2.5,good,61,5,191.00668724055907,343430.0,26970.0,71529.0,223030.0,223030.0,48871.0,0.1955,250000.0,-0.2729,budget,True,0.1085
60,P0005,2078 Maple St,Indianapolis,IN,46221,166887,1680,3,2.5,poor,17,6,113.06661676646706,189952.0,92400.0,110588.0,53163.0,53163.0,26201.0,0.18,145563.0,0.1214,roi,True,0.1065
61,P0084,635 Elm St,Tampa,FL,33625,217530,874,2,1.5,good,150,5,188.9191107964925,165115.0,13110.0,34394.0,105721.0,105721.0,25000.0,0.2104,118831.0,-0.3174,profit,True,0.1058
62,P0013,9383 Oak St,Cleveland,OH,44112,139353,1204,1,1.0,good,1,5,122.49639402810304,147486.0,18060.0,36312.0,86174.0,86174.0,25000.0,0.2398,104234.0,0.0551,profit,True,0.1056
63,P0072,9206 Cedar St,Atlanta,GA,30320,199175,1367,2,1.5,poor,31,5,161.07387736539258,220188.0,75185.0,98992.0,91239.0,91239.0,29956.0,0.18,166424.0,0.0954,roi,True,0.1044
64,P0024,5410 Oak St,Tampa,FL,33601,318952,1400,3,2.5,fair,131,5,203.98437502555623,285578.0,42000.0,77615.0,169833.0,169833.0,38130.0,0.18,211833.0,-0.1169,roi,True,0.1024
65,P0088,3315 Elm St,Cleveland,OH,44115,210407,1708,3,2.5,good,49,5,133.55319603693525,228109.0,25620.0,54745.0,143011.0,143011.0,30354.0,0.18,168631.0,0.0776,roi,True,0.102
66,P0068,6734 Elm St,Cleveland,OH,44109,144487,1074,3,2.5,good,2,5,123.94066943674977,133112.0,16110.0,32394.0,75718.0,75718.0,25000.0,0.2722,91828.0,-0.0855,profit,True,0.0999
67,P0016,4160 Maple St,Phoenix,AZ,85002,318407,1727,4,3.5,poor,101,3,175.78624400543612,303583.0,94985.0,128549.0,133844.0,133844.0,41189.0,0.18,228829.0,-0.0488,roi,True,0.0983
68,P0076,9757 Oak St,Phoenix,AZ,85004,182739,778,2,1.5,excellent,96,5,202.87179514782548,157834.0,3890.0,24871.0,107963.0,107963.0,25000.0,0.2235,111853.0,-0.1578,profit,True,0.0977
69,P0022,9594 Oak St,Atlanta,GA,30322,245299,1255,2,1.5,fair,23,5,209.75828803470768,263247.0,37650.0,70571.0,157541.0,157541.0,35134.0,0.18,195191.0,0.0682,roi,True,0.0974
70,P0093,2477 Pine St,Cleveland,OH,44118,201019,1717,3,2.5,fair,138,5,118.87283610341643,204105.0,51510.0,75130.0,101443.0,101443.0,27532.0,0.18,152953.0,0.0151,roi,True,0.0944
71,P0002,772 Cedar St,Atlanta,GA,30324,417006,1860,3,2.5,excellent,56,6,181.90071283095722,338335.0,9300.0,54948.0,238740.0,238740.0,44647.0,0.18,248040.0,-0.2325,roi,True,0.0904
72,P0008,1745 Maple St,Cleveland,OH,44121,187107,1478,2,1.5,good,86,5,113.59028021863757,167886.0,22170.0,43102.0,99784.0,99784.0,25000.0,0.205,121954.0,-0.1145,profit,True,0.0831
73,P0004,8990 Maple St,Tampa,FL,33612,283343,1271,2,1.5,fair,60,5,219.6189214787425,279136.0,38130.0,73191.0,168713.0,168713.0,37232.0,0.18,206843.0,-0.0151,roi,True,0.0795
74,P0037,666 Pine St,Atlanta,GA,30307,331196,1987,3,2.5,poor,19,5,164.85988153541115,327577.0,109285.0,144923.0,138121.0,138121.0,44533.0,0.18,247406.0,-0.011,roi,True,0.079
75,P0080,708 Pine St,Indianapolis,IN,46220,179560,1370,3,2.5,good,6,5,110.30286891287385,151115.0,20550.0,39131.0,86984.0,86984.0,25000.0,0.2325,107534.0,-0.1882,profit,True,0.0762
76,P0027,1483 Maple St,Atlanta,GA,30302,161234,859,2,1.5,fair,25,5,191.00668724055907,164075.0,25770.0,45833.0,93242.0,93242.0,25000.0,0.2101,119012.0,0.0173,profit,True,0.0761
77,P0014,2440 Oak St,Tampa,FL,33623,177806,896,1,1.0,poor,60,5,203.98437502555623,182770.0,49280.0,70136.0,87634.0,87634.0,25000.0,0.1826,136914.0,0.0272,profit,True,0.0741
78,P0026,7862 Maple St,Phoenix,AZ,85023,389699,1768,3,2.5,good,44,6,157.20019342359768,277930.0,26520.0,62406.0,178602.0,178602.0,36922.0,0.18,205122.0,-0.4021,roi,True,0.0741
79,P0062,9772 Maple St,Atlanta,GA,30307,325844,1559,3,2.5,good,75,3,150.23791210954417,234221.0,23385.0,53539.0,149553.0,149553.0,31129.0,0.18,172938.0,-0.3912,roi,True,0.0741
80,P0012,743 Oak St,Atlanta,GA,30303,200279,1233,2,1.5,fair,30,5,167.40937171304998,206416.0,36990.0,62167.0,116603.0,116603.0,27647.0,0.18,153593.0,0.0297,roi,True,0.069
81,P0058,8884 Cedar St,Cleveland,OH,44123,292883,2400,3,2.5,excellent,17,5,119.52107210032203,286851.0,12000.0,50350.0,198594.0,198594.0,37907.0,0.18,210594.0,-0.021,roi,True,0.0676
82,P0015,8314 Pine St,Indianapolis,IN,46208,275158,2027,3,2.5,good,60,5,107.98838988136889,218892.0,30405.0,57856.0,131833.0,131833.0,29203.0,0.18,162238.0,-0.257,roi,True,0.0664
83,P0100,3438 Oak St,Indianapolis,IN,46207,217700,1651,4,3.5,good,9,4,97.53138392857143,161024.0,24765.0,44461.0,91563.0,91563.0,25000.0,0.2149,116328.0,-0.352,profit,True,0.066
84,P0033,5574 Maple St,Cleveland,OH,44105,163053,1279,2,1.5,fair,14,5,127.79513270882124,163450.0,38370.0,57279.0,81171.0,81171.0,25000.0,0.2091,119541.0,0.0024,profit,True,0.0651
85,P0010,293 Elm St,Indianapolis,IN,46218,176251,1222,2,1.5,good,18,5,136.5274864424792,166837.0,18330.0,39430.0,102407.0,102407.0,25000.0,0.2071,120737.0,-0.0564,profit,True,0.0639
86,P0064,8652 Elm St,Tampa,FL,33622,183592,700,1,1.0,good,2,5,233.16383556465584,163215.0,10500.0,31722.0,106493.0,106493.0,25000.0,0.2137,116993.0,-0.1248,profit,True,0.0632
87,P0098,1078 Oak St,Cleveland,OH,44123,290961,2160,3,2.5,excellent,15,6,123.18911007025761,266088.0,10800.0,46403.0,184527.0,184527.0,35159.0,0.18,195327.0,-0.0935,roi,True,0.0625
88,P0078,8182 Cedar St,Cleveland,OH,44120,293305,2076,3,2.5,excellent,16,6,123.18911007025761,255741.0,10380.0,44598.0,177351.0,177351.0,33792.0,0.18,187731.0,-0.1469,roi,True,0.0606
89,P0038,794 Elm St,Cleveland,OH,44119,197278,1382,2,1.5,good,21,4,128.03855593431447,176949.0,20730.0,43128.0,108821.0,108821.0,25000.0,0.193,129551.0,-0.1149,profit,True,0.0559
90,P0006,9828 Maple St,Phoenix,AZ,85003,195784,892,1,1.0,fair,2,5,190.94224182667358,170320.0,26760.0,47667.0,97653.0,97653.0,25000.0,0.2009,124413.0,-0.1495,profit,True,0.0551
91,P0052,1624 Maple St,Atlanta,GA,30319,196641,1167,2,1.5,fair,22,5,153.2865038307388,178885.0,35010.0,56492.0,97393.0,97393.0,25000.0,0.1888,132403.0,-0.0993,profit,True,0.0536
92,P0074,9318 Cedar St,Tampa,FL,33603,248802,1247,2,1.5,poor,8,5,180.5090701571891,225095.0,68585.0,93629.0,100950.0,100950.0,30516.0,0.18,169535.0,-0.1053,roi,True,0.0528
93,P0065,1468 Maple St,Indianapolis,IN,46208,198849,1775,3,2.5,excellent,2,6,99.3375,176324.0,8875.0,32179.0,119145.0,119145.0,25000.0,0.1953,128020.0,-0.1277,profit,True,0.0516
94,P0050,6938 Pine St,Indianapolis,IN,46222,247763,1618,3,2.5,good,2,5,136.5274864424792,220901.0,24270.0,52520.0,138993.0,138993.0,29387.0,0.18,163263.0,-0.1216,roi,True,0.0492
95,P0083,397 Cedar St,Cleveland,OH,44122,250517,2039,4,3.5,fair,17,4,88.87354576535603,181213.0,61170.0,80794.0,75419.0,75419.0,25000.0,0.183,136589.0,-0.3824,profit,True,0.0484
96,P0018,9281 Elm St,Cleveland,OH,44108,211474,1647,3,2.5,good,4,3,127.10092626170537,209335.0,24705.0,51331.0,130133.0,130133.0,27871.0,0.18,154838.0,-0.0102,roi,True,0.0473
97,P0055,584 Elm St,Indianapolis,IN,46210,197066,1373,3,2.5,excellent,4,5,139.1404889959362,191040.0,6865.0,32502.0,133307.0,133307.0,25231.0,0.18,140172.0,-0.0315,roi,True,0.043
98,P0040,1380 Oak St,Indianapolis,IN,46204,84819,985,2,1.5,distressed,20,5,111.84121813515826,110164.0,83725.0,91436.0,0.0,0.0,18728.0,0.2237,83725.0,0.2301,profit,False,0.0
99,P0045,6047 Elm St,Indianapolis,IN,46206,82307,973,1,1.0,distressed,86,5,104.82914670658683,101999.0,82705.0,89845.0,0.0,0.0,12154.0,0.147,82705.0,0.1931,profit,False,0.0
100,P0085,9244 Pine St,Indianapolis,IN,46206,95027,1198,2,1.5,distressed,22,5,110.30286891287385,132143.0,101830.0,111080.0,0.0,0.0,21063.0,0.2068,101830.0,0.2809,profit,False,0.0
